featurecla,name,nameascii,adm0cap,worldcity,megacity,adm0name,adm0_a3,adm1name,latitude,longitude,pop_max,pop_min
Admin-0 capital,Vatican City,Vatican City,1,1,0,Vatican (Holy See),VAT,Lazio,41.90001223,12.44780839,832,832
Admin-0 capital,San Marino,San Marino,1,0,0,San Marino,SMR,,43.91715008,12.46667029,29579,29000
Admin-0 capital,Vaduz,Vaduz,1,0,0,Liechtenstein,LIE,,47.13372377,9.516669473,36281,5342
Admin-0 capital,Luxembourg,Luxembourg,1,0,0,Luxembourg,LUX,Luxembourg,49.61166038,6.130002806,107260,76684
Admin-0 capital,Palikir,Palikir,1,0,0,Federated States of Micronesia,FSM,,6.916643696,158.1499743,4645,4645
Admin-0 capital,Majuro,Majuro,1,0,0,Marshall Islands,MHL,,7.103004311,171.3800002,25400,20500
Admin-0 capital,Funafuti,Funafuti,1,0,0,Tuvalu,TUV,,-8.516651999,179.2166471,4749,4749
Admin-0 capital,Melekeok,Melekeok,1,0,0,Palau,PLW,,7.487396173,134.6265485,7026,7026
Admin-0 capital,Monaco,Monaco,1,0,0,Monaco,MCO,,43.73964569,7.406913173,36371,36371
Admin-0 capital,Tarawa,Tarawa,1,0,0,Kiribati,KIR,,1.338187506,173.0175708,28802,22534
Admin-0 capital,Moroni,Moroni,1,0,0,Comoros,COM,,-11.7041577,43.2402441,128698,42872
Admin-0 capital,Andorra,Andorra,1,0,0,Andorra,AND,,42.50000144,1.516485961,53998,22256
Admin-0 capital,Port-of-Spain,Port-of-Spain,1,0,0,Trinidad and Tobago,TTO,Port of Spain,10.65199709,-61.51703089,294934,49031
Admin-0 capital,Kigali,Kigali,1,0,1,Rwanda,RWA,Kigali City,-1.953590069,30.06053178,860000,745261
Admin-0 capital,Mbabane,Mbabane,1,0,0,Swaziland,SWZ,Hhohho,-26.31665078,31.13333451,90138,76218
Admin-0 capital,Juba,Juba,0,0,0,South Sudan,SSD,Central Equatoria,4.829975198,31.58002559,111975,111975
Admin-0 capital,Ljubljana,Ljubljana,1,0,0,Slovenia,SVN,Osrednjeslovenska,46.05528831,14.51496903,314807,255115
Admin-0 capital,Bratislava,Bratislava,1,0,0,Slovakia,SVK,Bratislavsk??,48.15001833,17.11698075,423737,373687
Admin-0 capital,Doha,Doha,1,0,0,Qatar,QAT,Ad Dawhah,25.28655601,51.53296789,1450000,731310
Admin-0 capital,Podgorica,Podgorica,1,0,0,Montenegro,MNE,Podgorica,42.46597251,19.26630692,145850,136473
Admin-0 capital,Bern,Bern,1,0,0,Switzerland,CHE,Bern,46.91668276,7.466975462,275329,121631
Admin-0 capital,Pristina,Pristina,1,0,0,Kosovo,KOS,Pristina,42.66670961,21.16598425,465186,198214
Admin-0 capital,Roseau,Roseau,1,0,0,Dominica,DMA,Saint George,15.30101564,-61.38701298,23336,16571
Admin-0 capital,Djibouti,Djibouti,1,0,0,Djibouti,DJI,Djibouti,11.59501446,43.14800167,923000,604013
Admin-0 capital,Banjul,Banjul,1,0,0,The Gambia,GMB,Banjul,13.45387646,-16.59170149,43094,34589
Admin-0 capital,Skopje,Skopje,1,0,0,Macedonia,MKD,Centar,42.00000612,21.43346147,494087,474889
Admin-0 capital,Bridgetown,Bridgetown,1,0,0,Barbados,BRB,Saint Michael,13.10200258,-59.61652674,191152,96578
Admin-0 capital,Bujumbura,Bujumbura,1,0,0,Burundi,BDI,Bujumbura Mairie,-3.37608722,29.36000606,331700,331700
Admin-0 capital,Kingstown,Kingstown,1,0,0,Saint Vincent and the Grenadines,VCT,,13.14827883,-61.21206242,49485,24518
Admin-0 capital,Castries,Castries,1,0,0,Saint Lucia,LCA,,14.00197349,-61.00000818,37963,10634
Admin-0 capital,Basseterre,Basseterre,1,0,0,Saint Kitts and Nevis,KNA,,17.30203046,-62.71700932,21887,15500
Admin-0 capital,Port Louis,Port Louis,1,0,0,Mauritius,MUS,,-20.16663857,57.49999385,595491,148416
Admin-0 capital,Saint George's,Saint George's,1,0,0,Grenada,GRD,,12.0526334,-61.74164323,33734,27343
Admin-0 capital,Manama,Manama,1,0,0,Bahrain,BHR,,26.23613629,50.58305172,563920,157474
Admin-0 capital,Saint John's,Saint John's,1,0,0,Antigua and Barbuda,ATG,,17.11803652,-61.85003382,35499,24226
Admin-0 capital,Montevideo,Montevideo,1,0,1,Uruguay,URY,Montevideo,-34.85804157,-56.17105229,1513000,5324
Admin-0 capital,Lom??,Lome,1,0,1,Togo,TGO,Maritime,6.131937072,1.222757119,1452000,749700
Admin-0 capital,Tunis,Tunis,1,0,0,Tunisia,TUN,Tunis,36.80277814,10.1796781,2412500,728453
Admin-0 capital,Abu Dhabi,Abu Dhabi,1,0,0,United Arab Emirates,ARE,Abu Dhabi,24.46668357,54.36659338,603492,560230
Admin-0 capital,Ashgabat,Ashgabat,1,0,0,Turkmenistan,TKM,Ahal,37.94999493,58.38329911,727700,577982
Admin-0 capital,Lusaka,Lusaka,1,0,1,Zambia,ZMB,Lusaka,-15.41664427,28.28332759,1328000,1267440
Admin-0 capital,Harare,Harare,1,0,1,Zimbabwe,ZWE,Harare,-17.81778969,31.04470943,1572000,1542813
Admin-0 capital,Dili,Dili,1,0,0,East Timor,TLS,Dili,-8.559388409,125.5794559,234331,193563
Admin-0 capital,Port Vila,Port Vila,1,0,0,Vanuatu,VUT,Shefa,-17.7333504,168.3166406,44040,35901
Admin-0 capital,Tegucigalpa,Tegucigalpa,1,0,1,Honduras,HND,Francisco Moraz?ín,14.1020449,-87.21752934,946000,850848
Admin-0 capital,Georgetown,Georgetown,1,0,0,Guyana,GUY,East Berbice-Corentyne,6.801973693,-58.16702865,264350,235017
Admin-0 capital,Reykjav?¡k,Reykjavik,1,0,0,Iceland,ISL,Su??urnes,64.15002362,-21.95001449,166212,113906
Admin-0 capital,Port-au-Prince,Port-au-Prince,1,0,1,Haiti,HTI,Ouest,18.5410246,-72.33603459,1998000,1234742
Admin-0 capital,Kampala,Kampala,1,0,1,Uganda,UGA,Kampala,0.316658955,32.58332353,1420000,1353189
Admin-0 capital,Paramaribo,Paramaribo,1,0,0,Suriname,SUR,Paramaribo,5.83503013,-55.16703089,254169,223757
Admin-0 capital,Niamey,Niamey,1,0,1,Niger,NER,Niamey,13.51670595,2.116656045,915000,742791
Admin-0 capital,Dushanbe,Dushanbe,1,0,0,Tajikistan,TJK,Tadzhikistan Territories,38.56003522,68.77387935,1086244,679400
