"count_yr","circle_name","state","num_sacr","lat","lon"
"1961","Cocoa","FL","28","28.3622","-80.7026"
"1961","Coot Bay-Everglades N.P.","FL","1","25.141","-80.9582"
"1961","Fort Myers","FL","6","26.5551","-81.9906"
"1961","Fort Pierce","FL","15","27.4177","-80.3828"
"1961","Gainesville","FL","77","29.6027","-82.3127"
"1961","Myakka River S.P.","FL","15","27.233","-82.236"
"1961","Sarasota","FL","54","27.2841","-82.4976"
"1961","Stuart","FL","9","27.2121","-80.2624"
"1961","Zellwood-Mount Dora","FL","2","28.7309","-81.6062"
"1961","Okefenokee N.W.R.","GA","18","30.8001","-82.1333"
"1962","Cocoa","FL","9","28.3622","-80.7026"
"1962","Fort Myers","FL","1","26.5551","-81.9906"
"1962","Fort Pierce","FL","5","27.4177","-80.3828"
"1962","Gainesville","FL","72","29.6027","-82.3127"
"1962","Myakka River S.P.","FL","31","27.233","-82.236"
"1962","Sarasota","FL","74","27.2841","-82.4976"
"1962","Stuart","FL","12","27.2121","-80.2624"
"1962","Titusville-Merritt Island","FL","4","28.6167","-80.7333"
"1962","West Palm Beach","FL","21","26.5672","-80.127"
"1962","Zellwood-Mount Dora","FL","51","28.7309","-81.6062"
"1962","Okefenokee N.W.R.","GA","40","30.8001","-82.1333"
"1962","Newport County-Westport","RI","1","41.5","-71.1667"
"1963","Cocoa","FL","7","28.3622","-80.7026"
"1963","Fort Myers","FL","2","26.5551","-81.9906"
"1963","Fort Pierce","FL","4","27.4177","-80.3828"
"1963","Gainesville","FL","8","29.6027","-82.3127"
"1963","Myakka River S.P.","FL","4","27.233","-82.236"
"1963","Sarasota","FL","42","27.2841","-82.4976"
"1963","St. Petersburg","FL","3","27.7991","-82.6794"
"1963","Stuart","FL","1","27.2121","-80.2624"
"1963","Titusville-Merritt Island","FL","1","28.6167","-80.7333"
"1963","West Palm Beach","FL","1","26.5672","-80.127"
"1963","Zellwood-Mount Dora","FL","1","28.7309","-81.6062"
"1963","Okefenokee N.W.R.","GA","39","30.8001","-82.1333"
"1963","Pascagoula","MS","7","30.35","-88.55"
"1964","Bon Secour","AL","25","30.3","-87.7167"
